from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246104624610564+1905107+0,246104624610564+1904387+0,1,
33,33,,,246106124610634+1905107+0,246106124610634+1904387+0,1,
33,33,,,246108924610912+1905107+0,246108924610912+1904387+0,1,
33,33,,,246103724610446+1905114+0,246103724610446+1904705+0,1,
33,33,,,246105124610586+1905117+0,246105124610586+1904706+0,1,
33,33,,,246106024610656+1905117+0,246106024610656+1904706+0,1,
33,33,,,246106024610656+1905152+0,246106024610656+1904748+0,1,
33,33,,,246108824610931+1905152+0,246108824610931+1904748+0,1,
33,33,,,246103824610527+1905162+0,246103824610527+1904763+0,1,
33,33,,,246106024610651+1905164+0,246106024610651+1904765+0,1,
33,33,,,246108724610877+1905165+0,246108724610877+1904766+0,1,
33,33,,,246103924610402+1905173+0,246103924610402+1904394+0,1,
33,33,,,246103624610435+1905175+0,246103624611765+1904395+0,1,
33,33,,,246104624610562+1905177+0,246104624610562+1904397+0,1,
33,33,,,246104624610564+1905177+0,246104624610564+1904397+0,1,
33,33,,,246106724610842+1905177+0,246106724610842+1904397+0,1,
33,33,,,246109524611751+1905177+0,246109524611751+1904397+0,1,
33,33,,,246109524611752+1905177+0,246109524611752+1904397+0,1,
33,33,,,246109524611753+1905177+0,246109524611753+1904397+0,1,
33,33,,,246103724610376+1905180+0,246103724610446+1904783+0,1,
33,33,,,246110024611776+1905184+0,246110024611776+1904786+0,1,
33,33,,,246105924610597+1905185+0,246105924610597+1904787+0,1,
33,33,,,246105924610597+1905202+0,246105924610597+1904808+0,1,
33,33,,,246105124610586+1905219+0,246105124610586+1904830+0,1,
33,33,,,246103724610446+1905233+0,246103724610446+1904850+0,1,
33,33,,,246105924610597+1905237+0,246105924610597+1904854+0,1,
33,33,,,246109424611717+1905247+0,246109424611717+1904874+0,1,
33,33,,,246107224610866+1905249+0,246107224610866+1904877+0,1,
33,33,,,246105124610586+1905263+0,246105124610586+1904906+0,1,
33,33,,,246109424611717+1905277+0,246109424611717+1904926+0,1,
33,33,,,246109424611717+1905301+0,246109424611717+1904947+0,1,
33,33,,,246106024610651+1905304+0,246106024610651+1904949+0,1,
33,33,,,246106024610656+1905304+0,246106024610656+1904949+0,1,
33,33,,,246103824610527+1905319+0,246103824610527+1904972+0,1,
33,33,,,246105924610597+1905323+0,246105924610597+1904975+0,1,
33,33,,,246108724610877+1905335+0,246108724610877+1904997+0,1,
33,33,,,246103924610402+1905342+0,246103924610402+1904408+0,1,
33,33,,,246104624610563+1905345+0,246104624610563+1904411+0,1,
33,33,,,246106124610634+1905345+0,246106124610634+1904411+0,1,
33,33,,,246106624610807+1905349+0,246106624610807+1905019+0,1,
33,33,,,246105124610586+1905375+0,246105124610586+1905057+0,1,
33,33,,,246110024611776+1905375+0,246110024611776+1905057+0,1,
33,33,,,246108724610877+1905376+0,246108724610877+1905058+0,1,
33,33,,,246106624610807+1905388+0,246106624610807+1905076+0,1,
33,33,,,246103824610527+1905394+0,246103824610527+1905082+0,1,
33,33,,,246104624610561+1905413+0,246104624610561+1904423+0,1,
33,33,,,246109524611751+1905413+0,246109524611751+1904423+0,1,
33,33,,,246109524611754+1905413+0,246109524611754+1904423+0,1,
33,33,,,246106724610841+1905421+0,246106724610841+1904434+0,1,
33,33,,,246109524611753+1905421+0,246109524611753+1904434+0,1,
33,33,,,246103324610342+1905422+0,246103324610332+1904438+0,1,
33,33,,,246103924610402+1905430+0,246103924610402+1904449+0,1,
33,33,,,246103924610402+1904475+0,246103924610402+1904067+1,1,
33,33,,,246104624610564+1904479+0,246104624610564+1904070+1,1,
33,33,,,246106124610632+1904479+0,246106124610632+1904070+1,1,
33,33,,,246106724610843+1904479+0,246106724610843+1904070+1,1,
